iter	Passed	Remaining
349	111252	206611
350	111816	206748
351	112353	206831
352	112906	206941
353	113437	207007
354	113941	207020
355	114485	207103
356	115030	207182
357	115623	207346
358	116181	207443
359	116725	207512
360	117265	207569
361	117747	207521
362	117892	206879
363	118087	206328
364	118515	206185
365	118718	205648
366	118871	205028
367	119032	204425
368	119179	203800
369	119316	203159
370	119460	202535
371	119839	202309
372	120189	202034
373	120505	201702
374	121019	201699
375	121534	201694
376	122003	201613
377	122525	201616
378	123069	201652
379	123619	201694
380	124145	201695
381	124658	201672
382	125217	201721
383	125734	201698
384	126277	201715
385	126793	201686
386	127328	201685
387	127870	201693
388	128378	201643
389	128898	201610
390	129405	201555
391	129966	201580
392	130513	201581
393	131053	201569
394	131583	201539
395	132101	201487
396	132610	201421
397	133120	201353
398	133657	201323
399	134218	201327
400	134441	200824
401	134904	200678
402	135347	200502
403	135502	199899
404	135712	199380
405	135849	198755
406	135986	198132
407	136341	197828
408	136736	197582
409	136883	196978
410	137023	196367
411	137352	196026
412	137814	195877
413	138176	195582
414	138353	195027
415	138710	194727
416	139173	194575
417	139578	194342
418	140000	194130
419	140164	193560
420	140296	192949
421	140434	192349
422	140571	191748
423	140720	191167
424	140861	190577
425	140990	189973
426	141143	189403
427	141687	189358
428	142257	189345
429	142769	189253
430	142988	188771
431	143435	188590
432	143728	188208
433	144111	187942
434	144288	187409
435	144422	186822
436	144920	186705
437	145475	186660
438	145956	186518
439	146329	186237
440	146851	186144
441	147389	186070
442	147888	185945
443	148311	185722
444	148827	185616
445	149512	185717
446	150090	185681
447	150426	185346
448	150884	185161
449	151454	185111
450	151965	184986
451	152508	184899
452	153049	184807
453	153563	184681
454	154087	184566
455	154663	184511
456	155195	184400
457	155736	184299
458	156263	184179
459	156773	184038
460	157290	183903
461	157854	183821
462	158382	183696
463	158791	183431
464	158941	182868
465	159083	182297
466	159220	181722
467	159694	181533
468	159870	181005
469	160012	180439
470	160162	179885
471	160350	179375
472	160535	178863
473	160673	178299
474	160907	177845
475	161285	177549
476	161655	177245
477	161928	176833
478	162221	176445
479	162464	176003
480	162699	175553
481	162909	175077
482	163150	174635
483	163494	174304
484	163699	173824
485	163955	173401
486	164329	173103
487	164716	172817
488	164869	172286
489	165214	171957
490	165371	171433
491	165526	170909
492	165651	170355
493	165795	169822
494	165943	169296
495	166094	168773
496	166531	168541
497	167061	168403
498	167212	167882
499	167415	167415
500	167611	166942
501	167768	166431
502	168181	166175
503	168559	165884
504	168698	165357
505	168959	164952
506	169274	164600
507	169867	164517
508	170313	164290
509	170508	163821
510	170802	163449
511	171215	163189
512	171642	162943
513	171834	162473
514	172112	162086
515	172370	161680
516	172702	161345
517	172903	160887
518	173177	160497
519	173679	160319
520	174242	160196
521	174506	159797
522	174794	159420
523	175071	159034
524	175252	158561
525	175523	158171
526	175677	157676
527	176013	157345
528	176190	156872
529	176323	156362
530	176465	155861
531	176595	155350
532	176729	154845
533	176863	154341
534	177108	153935
535	177395	153566
536	177594	153121
537	178030	152881
538	178526	152691
539	179019	152497
540	179549	152335
541	180084	152174
542	180622	152015
543	181152	151848
544	181676	151675
545	182208	151506
546	182712	151313
547	183231	151132
548	183739	150940
549	184254	150753
550	184750	150549
551	185241	150341
552	185731	150130
553	186209	149909
554	186708	149702
555	187230	149514
556	187734	149310
557	188224	149095
558	188726	148888
559	189261	148705
560	189760	148493
561	190270	148289
562	190703	148023
563	190923	147593
564	191234	147233
565	191649	146954
566	192129	146723
567	192534	146435
568	193015	146203
569	193503	145976
570	194025	145773
571	194530	145557
572	195029	145336
573	195550	145130
574	196036	144896
575	196519	144659
576	197039	144450
577	197548	144230
578	198048	144004
579	198538	143769
580	199050	143549
581	199486	143273
582	199842	142940
583	200088	142528
584	200246	142055
585	200755	141830
586	201055	141457
587	201398	141116
588	201693	140740
589	201834	140257
590	201966	139770
591	202126	139303
592	202526	139001
593	203031	138772
594	203412	138457
595	203620	138024
596	204044	137738
597	204474	137456
598	204926	137188
599	205330	136887
600	205753	136598
601	205888	136119
602	206016	135636
603	206145	135155
604	206743	134980
605	207280	134766
606	207783	134528
607	208117	134180
608	208264	133713
609	208399	133238
610	208527	132761
611	208781	132364
612	208993	131942
613	209354	131613
614	209497	131149
615	209654	130693
616	209830	130251
617	209953	129777
618	210081	129306
619	210230	128850
620	210375	128393
621	210538	127948
622	210957	127657
623	211485	127433
624	211987	127192
625	212522	126970
626	212765	126573
627	212920	126125
628	213160	125727
629	213435	125350
630	213575	124896
631	213706	124436
632	213841	123980
633	213964	123518
634	214092	123060
635	214562	122800
636	215110	122582
637	215673	122373
638	216176	122127
639	216675	121879
640	217191	121640
641	217714	121404
642	218248	121173
643	218779	120940
644	219277	120687
645	219804	120449
646	220297	120193
647	220804	119943
648	221341	119708
649	221848	119456
650	222338	119195
651	222837	118937
652	223326	118674
653	223838	118422
654	224361	118175
655	224868	117918
656	225354	117650
657	225860	117392
658	226338	117119
659	226817	116845
660	227305	116575
661	227831	116324
662	228314	116051
663	228837	115797
664	229336	115530
665	229853	115271
666	230364	115009
667	230867	114742
668	231398	114488
669	231916	114227
670	232427	113962
671	232925	113689
672	233424	113417
673	233921	113143
674	234425	112871
675	234929	112599
676	235432	112326
677	235854	112013
678	236263	111694
679	236693	111385
680	237020	111027
681	237244	110621
682	237678	110313
683	238126	110011
684	238546	109696
685	238962	109379
686	239273	109013
687	239687	108695
688	240123	108386
689	240463	108034
690	240682	107627
691	240822	107186
692	241165	106836
693	241549	106504
694	242026	106213
695	242436	105891
696	242880	105584
697	243214	105230
698	243533	104869
699	243666	104428
700	244005	104076
701	244452	103770
702	244879	103455
703	245307	103140
704	245666	102796
705	245804	102360
706	245947	101927
707	246258	101564
708	246686	101249
709	247118	100935
710	247418	100568
711	247567	100139
712	247705	99707
713	247838	99274
714	247970	98841
715	248218	98455
716	248588	98117
717	249140	97851
718	249628	97559
719	250158	97283
720	250473	96924
721	250694	96527
722	250830	96099
723	250972	95674
724	251115	95250
725	251270	94831
726	251427	94415
727	251558	93988
728	251829	93615
729	252226	93289
730	252712	92995
731	253198	92700
732	253720	92419
733	254225	92130
734	254778	91859
735	255278	91567
736	255816	91288
737	256357	91010
738	256887	90727
739	257387	90433
740	257905	90145
741	258431	89859
742	258940	89566
743	259427	89265
744	259924	88967
745	260409	88664
746	260878	88356
747	261393	88063
748	261896	87765
749	262388	87462
750	262907	87168
751	263436	86877
752	263925	86573
753	264371	86253
754	264522	85838
755	265047	85544
756	265547	85241
757	266101	84956
758	266525	84627
759	266675	84213
760	266903	83823
761	267074	83417
762	267403	83059
763	267532	82640
764	267667	82224
765	267974	81861
766	268390	81531
767	268810	81203
768	269278	80888
769	269789	80586
770	270294	80281
771	270470	79880
772	270663	79483
773	271134	79168
774	271627	78859
775	272145	78557
776	272733	78274
777	273168	77947
778	273317	77539
779	273475	77134
780	273671	76740
781	273898	76355
782	274309	76021
783	274476	75620
784	274612	75212
785	274832	74827
786	274983	74423
787	275120	74017
788	275374	73642
789	275627	73268
790	275800	72872
791	276042	72496
792	276183	72093
793	276326	71691
794	276465	71289
795	276606	70889
796	276744	70488
797	276864	70083
798	276991	69681
799	277144	69286
800	277411	68919
801	277774	68577
802	278196	68250
803	278742	67952
804	279282	67652
805	279453	67262
806	279642	66878
807	279851	66499
808	280092	66128
809	280243	65736
810	280589	65390
811	280829	65019
812	281134	64664
813	281588	64343
814	281896	63988
815	282076	63605
816	282565	63291
817	282712	62901
818	282850	62510
819	283001	62122
820	283432	61795
821	283974	61493
822	284481	61182
823	285020	60878
824	285583	60578
825	286168	60282
826	286726	59980
827	287266	59673
828	287780	59361
829	288313	59052
830	288799	58733
831	289323	58420
832	289839	58107
833	290198	57761
834	290342	57373
835	290478	56983
836	290781	56627
837	290918	56239
838	291060	55853
839	291199	55466
840	291503	55111
841	291891	54773
842	292308	54439
843	292954	54148
844	293542	53845
845	293719	53466
846	293907	53090
847	294051	52707
848	294587	52394
849	295142	52084
850	295672	51768
851	296160	51445
852	296288	51060
853	296434	50678
854	296582	50297
855	296730	49917
856	296924	49545
857	297066	49164
858	297256	48793
859	297553	48438
860	298015	48111
861	298629	47808
862	298916	47452
863	299047	47072
864	299252	46704
865	299399	46327
866	299533	45949
867	299675	45572
868	300034	45229
869	300177	44854
870	300317	44478
871	300461	44104
872	300600	43729
873	300742	43356
874	300884	42983
875	301249	42642
876	301519	42288
877	301666	41917
878	301824	41548
879	301968	41177
880	302282	40830
881	302738	40502
882	303001	40148
883	303469	39821
884	303596	39450
885	303733	39080
886	303869	38711
887	304034	38346
888	304438	38012
889	304927	37687
890	305497	37372
891	306010	37050
892	306547	36730
893	306970	36396
894	307117	36030
895	307350	35674
896	307538	35313
897	307697	34950
898	307830	34583
899	308337	34259
900	308517	33899
901	308656	33534
902	308822	33173
903	308970	32811
904	309114	32448
905	309578	32119
906	310135	31800
907	310646	31475
908	311185	31152
909	311742	30831
910	312261	30506
911	312821	30184
912	313354	29859
913	313868	29532
914	314433	29209
915	314953	28882
916	315463	28553
917	316002	28226
918	316545	27900
919	317057	27570
920	317562	27239
921	317691	26876
922	318023	26530
923	318377	26186
924	318733	25843
925	318871	25482
926	319015	25122
927	319163	24762
928	319510	24419
929	319661	24060
930	319808	23702
931	319954	23344
932	320174	22992
933	320435	22643
934	320590	22287
935	320971	21946
936	321119	21590
937	321256	21234
938	321386	20878
939	321671	20532
940	322199	20201
941	322702	19869
942	323250	19539
943	323797	19208
944	324363	18878
945	325010	18552
946	325584	18221
947	326122	17888
948	326663	17555
949	327226	17222
950	327741	16886
951	328247	16550
952	328776	16214
953	329294	15877
954	329805	15540
955	330305	15202
956	330836	14865
957	331375	14527
958	331915	14190
959	332438	13851
960	332892	13509
961	333306	13165
962	333514	12814
963	333892	12469
964	334037	12115
965	334190	11762
966	334339	11409
967	334477	11057
968	334614	10704
969	334764	10353
970	334925	10002
971	335081	9652
972	335247	9302
973	335734	8962
974	336244	8621
975	336774	8281
976	337303	7940
977	337815	7599
978	338365	7258
979	338680	6911
980	338823	6562
981	339140	6216
982	339272	5867
983	339402	5518
984	339538	5170
985	339676	4822
986	340118	4479
987	340647	4137
988	341161	3794
989	341690	3451
990	342228	3108
991	342737	2764
992	343272	2419
993	343848	2075
994	344362	1730
995	344869	1385
996	345379	1039
997	345908	693
998	346442	346
999	346966	0
