iter	Logloss
0	0.6392504751
1	0.6035194213
2	0.5722879678
3	0.5473395805
4	0.5174881894
5	0.492141117
6	0.4752258694
7	0.4592641052
8	0.4437709917
9	0.4315137639
10	0.4222210108
11	0.4094187047
12	0.3947067946
13	0.3847996538
14	0.3776920241
15	0.3721390759
16	0.3667034803
17	0.3614512538
18	0.3575225126
19	0.3478609908
20	0.3425790526
21	0.3390330004
22	0.3364292748
23	0.3267555152
24	0.321104955
25	0.3160688208
26	0.3116016955
27	0.3074364417
28	0.3044698939
29	0.2990417562
30	0.2931278769
31	0.2905895528
32	0.2885445009
33	0.2852415677
34	0.2824378033
35	0.2814256066
36	0.2795531045
37	0.2746522092
38	0.2729306563
39	0.2702657448
40	0.2688053254
41	0.2665950327
42	0.2637220161
43	0.2611065434
44	0.2599565713
45	0.2585228878
46	0.2550552931
47	0.2537899379
48	0.2526025057
49	0.2512802667
50	0.2479494764
51	0.2449714908
52	0.2434534917
53	0.2426024738
54	0.2405970412
55	0.2388227911
56	0.2348266478
57	0.2327720957
58	0.231522538
59	0.2295818398
60	0.2285844015
61	0.2277930152
62	0.2271003351
63	0.2262819638
64	0.2251654939
65	0.2225686234
66	0.2208164309
67	0.2197806926
68	0.2183457412
69	0.2170559082
70	0.2156936442
71	0.2143093422
72	0.212499001
73	0.2117574115
74	0.2103367946
75	0.2098052638
76	0.209143834
77	0.2081847532
78	0.2077750096
79	0.2071265067
80	0.206474801
81	0.2055314576
82	0.2043200176
83	0.2039995765
84	0.2033445962
85	0.2026670379
86	0.2019339124
87	0.2009330374
88	0.1990206181
89	0.1984603635
90	0.1979099805
91	0.1972207969
92	0.1965890161
93	0.1961161564
94	0.1956888363
95	0.1944443948
96	0.1933621526
97	0.1927278933
98	0.1923578609
99	0.1917400566
100	0.1905398491
101	0.1901365452
102	0.1893835054
103	0.1885656673
104	0.1878809458
105	0.1876185333
106	0.1867655319
107	0.1862647871
108	0.1859781329
109	0.1855559058
110	0.1845217485
111	0.183979577
112	0.183619178
113	0.1831855163
114	0.1827059794
115	0.1825330227
116	0.1820737111
117	0.1817413315
118	0.1814154038
119	0.1810426533
120	0.180616204
121	0.1795993694
122	0.1788086644
123	0.1784032429
124	0.1780145657
125	0.1776975505
126	0.1774854172
127	0.1771512465
128	0.1767321653
129	0.1759932461
130	0.175568988
131	0.1752915053
132	0.1747415689
133	0.1744357284
134	0.1740310315
135	0.1738720591
136	0.1732224747
137	0.1726937841
138	0.1723188954
139	0.1719878467
140	0.1716879016
141	0.1714501918
142	0.1709599072
143	0.1707418512
144	0.1703686427
145	0.1695569407
146	0.1692356813
147	0.1689322659
148	0.1686553072
149	0.1684416637
150	0.1682385219
151	0.1678262494
152	0.1675311397
153	0.1672928814
154	0.1670021604
155	0.1668217841
156	0.166637866
157	0.1660723545
158	0.165603753
159	0.1654042476
160	0.1651589633
161	0.1646641824
162	0.1642685608
163	0.1639207954
164	0.1635573022
165	0.1633248494
166	0.1630709317
167	0.1629455457
168	0.1626535097
169	0.1623230764
170	0.1620293417
171	0.1617588399
172	0.1613362445
173	0.1611290754
174	0.1609175193
175	0.1600685385
176	0.1598150597
177	0.1595004911
178	0.1592451475
179	0.1590929412
180	0.1588513155
181	0.1587341013
182	0.1585219872
183	0.1583820065
184	0.1582276918
185	0.1576975363
186	0.1572516949
187	0.1570590344
188	0.1567358208
189	0.1565476483
190	0.1562956732
191	0.1561410844
192	0.1558596548
193	0.1557440238
194	0.1556130654
195	0.155529586
196	0.155424909
197	0.1551646026
198	0.154841036
199	0.1544622826
200	0.1542183029
201	0.1538301049
202	0.1535750589
203	0.1533410297
204	0.1531496575
205	0.152997493
206	0.1528476141
207	0.1525547805
208	0.1524378646
209	0.1523476866
210	0.152035764
211	0.1516797347
212	0.1514503014
213	0.1512930428
214	0.1511166183
215	0.1509314512
216	0.1508204729
217	0.1504851879
218	0.1501662073
219	0.1498757831
220	0.149683324
221	0.1495708748
222	0.1493538767
223	0.1492103024
224	0.1490792053
225	0.1489113874
226	0.1487453951
227	0.148578909
228	0.1483245651
229	0.1481562562
230	0.1480364036
231	0.1479081043
232	0.1477776521
233	0.1476484176
234	0.1475523724
235	0.1473903459
236	0.1471877058
237	0.146979069
238	0.1468230068
239	0.1465802733
240	0.1464048452
241	0.1461386253
242	0.1460658516
243	0.1459023201
244	0.1456447075
245	0.145500692
246	0.1453562634
247	0.1451525416
248	0.1450363991
249	0.1448415894
250	0.1447143372
251	0.1445321185
252	0.1444336961
253	0.1442846766
254	0.1441366971
255	0.1439987686
